"lang"
{
"Language"	"brazilian"
"[english]DOTA_WearableType_Abomination"	"Abomination"
"DOTA_WearableType_Greaves"	"Grevas"
"[english]DOTA_WearableType_Greaves"	"Greaves"
"DOTA_WearableType_Saw"	"Serra"
"[english]DOTA_WearableType_Saw"	"Saw"
"DOTA_WearableType_Hook"	"Gancho"
"[english]DOTA_WearableType_Hook"	"Hook"
"DOTA_WearableType_Abdomen"	"Abdômen"
"[english]DOTA_WearableType_Abdomen"	"Abdomen"
"DOTA_WearableType_Sect_Pauldron"	"Espaldeira da Seita"
"[english]DOTA_WearableType_Sect_Pauldron"	"Sect Pauldron"
"DOTA_WearableType_Sect_Sword"	"Espada da Seita"
"[english]DOTA_WearableType_Sect_Sword"	"Sect Sword"
"DOTA_WearableType_Flag"	"Bandeira"
"[english]DOTA_WearableType_Flag"	"Flag"
"DOTA_WearableType_Blade_RightHand"	"Lâmina, Mão Direita"
"[english]DOTA_WearableType_Blade_RightHand"	"Blade, Right-Hand"
"DOTA_WearableType_Blade_LeftHand"	"Lâmina, Mão Esquerda"
"[english]DOTA_WearableType_Blade_LeftHand"	"Blade, Left-Hand"
"DOTA_WearableType_Sect_Cape"	"Capa da Seita"
"[english]DOTA_WearableType_Sect_Cape"	"Sect Cape"
"DOTA_WearableType_Sect_Skirt"	"Saia da Seita"
"[english]DOTA_WearableType_Sect_Skirt"	"Sect Skirt"
"DOTA_WearableType_Sect_Gauntlet"	"Manopla da Seita"
"[english]DOTA_WearableType_Sect_Gauntlet"	"Sect Gauntlet"
"DOTA_WearableType_Scarf"	"Cachecol"
"[english]DOTA_WearableType_Scarf"	"Scarf"
"DOTA_WearableType_Leather_Pants"	"Calças de Couro"
"[english]DOTA_WearableType_Leather_Pants"	"Leather Pants"
"DOTA_WearableType_Blade_RightHanded"	"Lâmina, Destro"
"[english]DOTA_WearableType_Blade_RightHanded"	"Blade, Right-Handed"
"DOTA_WearableType_Talisman"	"Talismã"
"[english]DOTA_WearableType_Talisman"	"Talisman"
"DOTA_WearableType_Garland"	"Grinalda"
"[english]DOTA_WearableType_Garland"	"Garland"
"DOTA_WearableType_Exort_Cape"	"Capa Exort"
"[english]DOTA_WearableType_Exort_Cape"	"Exort Cape"
"DOTA_WearableType_Exort_Bracer"	"Braçadeira Exort"
"[english]DOTA_WearableType_Exort_Bracer"	"Exort Bracer"
"DOTA_WearableType_Exort_Crest"	"Crista Exort"
"[english]DOTA_WearableType_Exort_Crest"	"Exort Crest"
"DOTA_Item"	"Item de Vestuário"
"[english]DOTA_Item"	"Wearable"
"DOTA_Custom_Courier"	"Entregador"
"[english]DOTA_Custom_Courier"	"Courier"
"DOTA_Custom_HexModel"	"Animal personalizado para \"Enfeitiçar\""
"[english]DOTA_Custom_HexModel"	"Custom Hex Animal"
"DOTA_WearableType_Announcer"	"Locutor"
"[english]DOTA_WearableType_Announcer"	"Announcer"
"DOTA_WearableType_Custom_Courier"	"Entregador"
"[english]DOTA_WearableType_Custom_Courier"	"Courier"
"DOTA_WearableType_MegaKills"	""
"[english]DOTA_WearableType_MegaKills"	""
"DOTA_WearableType_Treasure_Chest"	"Baú de Tesouro"
"[english]DOTA_WearableType_Treasure_Chest"	"Treasure Chest"
"DOTA_TreasureChest_Type"	"Tesouro"
"[english]DOTA_TreasureChest_Type"	"Treasure"
"DOTA_WearableType_Tool"	"Ferramenta"
"[english]DOTA_WearableType_Tool"	"Tool"
"DOTA_WearableType_Battle_Bonus"	"Bônus de Batalha"
"[english]DOTA_WearableType_Battle_Bonus"	"Battle Bonus"
"DOTA_Item_Gift"	"Presente"
"[english]DOTA_Item_Gift"	"Gift"
"DOTA_WearableType_Gift"	"Presente"
"[english]DOTA_WearableType_Gift"	"Gift"
"DOTA_WearableType_Strange_Essence"	"Essência Estranha"
"[english]DOTA_WearableType_Strange_Essence"	"Strange Essence"
"DOTA_WearableType_LeagueViewPass"	""
"[english]DOTA_WearableType_LeagueViewPass"	""
"DOTA_WearableType_Bundle"	"Pacote"
"[english]DOTA_WearableType_Bundle"	"Bundle"
"DOTA_Wearable_Riki_DefaultWeapon"	"Adagas do Riki"
"[english]DOTA_Wearable_Riki_DefaultWeapon"	"Riki's Daggers"
"DOTA_Item_AntiMages_Glaives"	"Alabardas do Anti-Mage"
"[english]DOTA_Item_AntiMages_Glaives"	"Anti-Mage's Glaives"
"DOTA_Item_Axes_Axe"	"Machado do Axe"
"[english]DOTA_Item_Axes_Axe"	"Axe's Axe"
"DOTA_Wearable_Axe_DefaultArmor"	"Ombreira do Axe"
"[english]DOTA_Wearable_Axe_DefaultArmor"	"Axe's Shoulderpad"
"DOTA_Wearable_Axe_DefaultHair"	"Rabo de cavalo do Axe"
"[english]DOTA_Wearable_Axe_DefaultHair"	"Axe's Ponytail"
"DOTA_Item_Axes_Belt"	"Cinto do Axe"
"[english]DOTA_Item_Axes_Belt"	"Axe's Belt"
"DOTA_Wearable_Jugg_DefaultMask"	"Máscara do Juggernaut"
"[english]DOTA_Wearable_Jugg_DefaultMask"	"Juggernaut's Mask"
"DOTA_Wearable_Jugg_DefaultWeapon"	"Arma do Juggernaut"
"[english]DOTA_Wearable_Jugg_DefaultWeapon"	"Juggernaut's Weapon"
"DOTA_Wearable_Jugg_DefaultCape"	"Capa do Juggernaut"
"[english]DOTA_Wearable_Jugg_DefaultCape"	"Juggernaut's Cape"
"DOTA_Wearable_Jugg_DefaultBracers"	"Braçadeiras do Juggernaut"
"[english]DOTA_Wearable_Jugg_DefaultBracers"	"Juggernaut's Bracers"
"DOTA_Item_Kunkkas_Boots"	"Botas do Kunkka"
"[english]DOTA_Item_Kunkkas_Boots"	"Kunkka's Boots"
"DOTA_Item_Kunkkas_Hands"	"Mãos do Kunkka"
"[english]DOTA_Item_Kunkkas_Hands"	"Kunkka's Hands"
"DOTA_Item_Kunkkas_Sword"	"Espada do Kunkka"
"[english]DOTA_Item_Kunkkas_Sword"	"Kunkka's Sword"
"DOTA_Item_Omniknights_Bracers"	"Braçadeiras do Omniknight"
"[english]DOTA_Item_Omniknights_Bracers"	"Omniknight's Bracers"
"DOTA_Item_Desc_Bracers"	"Braçadeiras velhas do Omniknight"
"[english]DOTA_Item_Desc_Bracers"	"Omniknight's old bracers"
"DOTA_Item_Kunkkas_Head"	"Cabeça do Kunkka"
"[english]DOTA_Item_Kunkkas_Head"	"Kunkka's Head"
"DOTA_FacelessVoid_Default_Weapon"	"Arma do Faceless Void"
"[english]DOTA_FacelessVoid_Default_Weapon"	"Faceless Void's Weapon"
"DOTA_Wearable_Sven_DefaultHead"	"Máscara do Sven"
"[english]DOTA_Wearable_Sven_DefaultHead"	"Sven's Mask"
"DOTA_Wearable_Sven_DefaultSword"	"Espada do Sven"
"[english]DOTA_Wearable_Sven_DefaultSword"	"Sven's Sword"
"DOTA_Wearable_Sven_DefaultBelt"	"Cinto do Sven"
"[english]DOTA_Wearable_Sven_DefaultBelt"	"Sven's Belt"
"DOTA_Wearable_Sven_DefaultGauntlet"	"Manopla do Sven"
"[english]DOTA_Wearable_Sven_DefaultGauntlet"	"Sven's Gauntlet"
"DOTA_Wearable_Sven_DefaultShoulder"	"Ombro do Sven"
"[english]DOTA_Wearable_Sven_DefaultShoulder"	"Sven's Shoulder"
"DOTA_Wearable_Windrunner_DefaultHead"	"Cabeça da Windrunner"
"[english]DOTA_Wearable_Windrunner_DefaultHead"	"Windrunner's Head"
"DOTA_Wearable_Windrunner_DefaultBow"	"Arco da Windrunner"
"[english]DOTA_Wearable_Windrunner_DefaultBow"	"Windrunner's Bow"
"DOTA_Wearable_Windrunner_ShoulderPads"	"Ombreiras da Windrunner"
"[english]DOTA_Wearable_Windrunner_ShoulderPads"	"Windrunner's Shoulder Pads"
"DOTA_Wearable_Windrunner_Cape"	"Capa da Windrunner"
"[english]DOTA_Wearable_Windrunner_Cape"	"Windrunner's Cape"
"DOTA_Wearable_Windrunner_DefaultQuiver"	"Aljava da Windrunner"
"[english]DOTA_Wearable_Windrunner_DefaultQuiver"	"Windrunner's Quiver"
"DOTA_Item_Queen_of_Pains_Weapon"	"Arma da Queen of Pain"
"[english]DOTA_Item_Queen_of_Pains_Weapon"	"Queen of Pain's Weapon"
"DOTA_Wearable_Silencer_DefaultWeapon"	"Arma do Silencer"
"[english]DOTA_Wearable_Silencer_DefaultWeapon"	"Silencer's Weapon"
"DOTA_Wearable_Silencer_DefaultShield"	"Escudo do Silencer"
"[english]DOTA_Wearable_Silencer_DefaultShield"	"Silencer's Shield"
"DOTA_Wearable_Furion_DefaultWeapon"	"Cajado do Prophet"
"[english]DOTA_Wearable_Furion_DefaultWeapon"	"Prophet's Staff"
"DOTA_Wearable_Furion_DefaultHorns"	"Chifres do Prophet"
"[english]DOTA_Wearable_Furion_DefaultHorns"	"Prophet's Horns"
"DOTA_Wearable_Furion_DefaultBeard"	"Barba do Prophet"
"[english]DOTA_Wearable_Furion_DefaultBeard"	"Prophet's Beard"
"DOTA_Wearable_Furion_DefaultCape"	"Capa do Prophet"
"[english]DOTA_Wearable_Furion_DefaultCape"	"Prophet's Cape"
"DOTA_Wearable_Furion_DefaultNecklace"	"Colar do Prophet"
"[english]DOTA_Wearable_Furion_DefaultNecklace"	"Prophet's Necklace"
"DOTA_Item_Tidehunters_Bracer"	"Braçadeira do Tidehunter"
"[english]DOTA_Item_Tidehunters_Bracer"	"Tidehunter's Bracer"
"DOTA_Item_Tidehunters_Belt"	"Cinto do Tidehunter"
"[english]DOTA_Item_Tidehunters_Belt"	"Tidehunter's Belt"
"DOTA_Item_Tidehunters_Anchor"	"Âncora do Tidehunter"
"[english]DOTA_Item_Tidehunters_Anchor"	"Tidehunter's Anchor"
"DOTA_Item_Tidehunters_Lunch"	"Petisco do Tidehunter"
"[english]DOTA_Item_Tidehunters_Lunch"	"Tidehunter's Lunch"
"DOTA_Wearable_CrystalMaiden_Default_Cape"	"Capa da Crystal Maiden"
"[english]DOTA_Wearable_CrystalMaiden_Default_Cape"	"Crystal Maiden's Cape"
"DOTA_Wearable_CrystalMaiden_Default_Shoulder_Pads"	"Ombreiras da Crystal Maiden"
"[english]DOTA_Wearable_CrystalMaiden_Default_Shoulder_Pads"	"Crystal Maiden's Shoulder Pads"
"DOTA_Wearable_CrystalMaiden_Default_Weapon"	"Arma da Crystal Maiden"
"[english]DOTA_Wearable_CrystalMaiden_Default_Weapon"	"Crystal Maiden's Weapon"
"DOTA_Wearable_CrystalMaiden_Default_Boots_and_Cuffs"	"Braçadeiras e botas da Crystal Maiden"
"[english]DOTA_Wearable_CrystalMaiden_Default_Boots_and_Cuffs"	"Crystal Maiden's Boots & Cuffs"
"DOTA_Item_Omniknights_Shoulders"	"Ombros do Omniknight"
"[english]DOTA_Item_Omniknights_Shoulders"	"Omniknight's Shoulders"
"DOTA_Item_Desc_Omniknights_Shoulders"	"Ombreiras antigas do Omniknight"
"[english]DOTA_Item_Desc_Omniknights_Shoulders"	"Omniknight's old shoulders"
"DOTA_Item_Omniknights_Cape"	"Capa do Omniknight"
"[english]DOTA_Item_Omniknights_Cape"	"Omniknight's Cape"
"DOTA_Item_Desc_Omniknights_Cape"	"Capa antiga do Omniknight"
"[english]DOTA_Item_Desc_Omniknights_Cape"	"Omniknight's old cape"
"DOTA_Item_Omniknights_Weapon"	"Arma do Omniknight"
"[english]DOTA_Item_Omniknights_Weapon"	"Omniknight's Weapon"
"DOTA_Item_Desc_Omniknights_Hammer"	"Martelo antigo do Omniknight"
"[english]DOTA_Item_Desc_Omniknights_Hammer"	"Omniknight's old hammer"
"DOTA_Item_Omniknights_Head"	"Cabeça do Omniknight"
"[english]DOTA_Item_Omniknights_Head"	"Omniknight's Head"
"DOTA_Item_Desc_Omniknights_Head"	"Rosto antigo do Omniknight"
"[english]DOTA_Item_Desc_Omniknights_Head"	"Omniknight's old face"
"DOTA_Item_Omniknights_Hair"	"Cabelo do Omniknight"
"[english]DOTA_Item_Omniknights_Hair"	"Omniknight's Hair"
"DOTA_Item_Desc_Omniknights_Hair"	"Cabelo antigo do Omniknight"
"[english]DOTA_Item_Desc_Omniknights_Hair"	"Omniknight's old hair"
"DOTA_Item_Pudges_Rusty_Meathook"	"Gancho Enferrujado do Pudge"
"[english]DOTA_Item_Pudges_Rusty_Meathook"	"Pudge's Rusty Meathook"
"DOTA_Item_Desc_Rusty_Meathook"	"Gancho de carne de aparência enferrujada e cruel."
"[english]DOTA_Item_Desc_Rusty_Meathook"	"A rusted and cruel looking meat hook."
"DOTA_Item_Invokers_Cape"	"Capa do Invoker"
"[english]DOTA_Item_Invokers_Cape"	"Invoker's Cape"
"DOTA_Item_Prophets_Bracers"	"Braçadeiras do Prophet"
"[english]DOTA_Item_Prophets_Bracers"	"Prophet's Bracers"
"DOTA_Item_Desc_Copy_of_Prophets_Horns"	""
"[english]DOTA_Item_Desc_Copy_of_Prophets_Horns"	""
"DOTA_Item_Bounty_Hunters_Weapon"	"Arma do Bounty Hunter"
"[english]DOTA_Item_Bounty_Hunters_Weapon"	"Bounty Hunter's Weapon"
"DOTA_Item_Desc_Unnamed_New_Item"	"Este item novo ainda não possui uma descrição."
"[english]DOTA_Item_Desc_Unnamed_New_Item"	"This new item has no description."
"DOTA_Item_Bounty_Hunters_Offhand_Weapon"	"Arma Secundária do Bounty Hunter"
"[english]DOTA_Item_Bounty_Hunters_Offhand_Weapon"	"Bounty Hunter's Offhand Weapon"
"DOTA_Item_Desc_Copy_of_RWeapon"	"Este item novo ainda não possui uma descrição."
"[english]DOTA_Item_Desc_Copy_of_RWeapon"	"This new item has no description."
"DOTA_Item_Bounty_Hunters_Back"	"Costas do Bounty Hunter"
"[english]DOTA_Item_Bounty_Hunters_Back"	"Bounty Hunter's Back"
"DOTA_Item_Desc_Copy_of_LWeapon"	"Este item novo ainda não possui uma descrição."
"[english]DOTA_Item_Desc_Copy_of_LWeapon"	"This new item has no description."
"DOTA_Item_Armor"	"Armadura do Bounty Hunter"
"[english]DOTA_Item_Armor"	"Bounty Hunter's Armor"
"DOTA_Item_Desc_Copy_of_Backpack"	"Este item novo ainda não possui uma descrição."
"[english]DOTA_Item_Desc_Copy_of_Backpack"	"This new item has no description."
"DOTA_Item_Bounty_Hunters_Shoulder"	"Ombreira do Bounty Hunter"
"[english]DOTA_Item_Bounty_Hunters_Shoulder"	"Bounty Hunter's Shoulder"
"DOTA_Item_Desc_Copy_of_Armor"	"Este item novo ainda não possui uma descrição."
"[english]DOTA_Item_Desc_Copy_of_Armor"	"This new item has no description."
"DOTA_Item_Bounty_Hunters_Bandana"	"Bandana do Bounty Hunter"
"[english]DOTA_Item_Bounty_Hunters_Bandana"	"Bounty Hunter's Bandana"
"DOTA_Item_Desc_Copy_of_BWeapon"	"Este item novo ainda não possui uma descrição."
"[english]DOTA_Item_Desc_Copy_of_BWeapon"	"This new item has no description."
"DOTA_Item_Clinkz_Skull"	"Crânio do Clinkz"
"[english]DOTA_Item_Clinkz_Skull"	"Clinkz Skull"
"DOTA_Item_Desc_Clinkz_Skull"	"Crânio padrão do Clinkz"
"[english]DOTA_Item_Desc_Clinkz_Skull"	"Clinkz default skull"
"DOTA_Item_Clinkz_Bow"	"Arco e Flecha do Clinkz"
"[english]DOTA_Item_Clinkz_Bow"	"Clinkz Bow"
"DOTA_Item_Desc_Clinkz_Bow"	"Arco e flecha padrão do Clinkz"
"[english]DOTA_Item_Desc_Clinkz_Bow"	"Clinkz default Bow"
"DOTA_Item_Clinkz_Shoulder_Pads"	"Ombreiras do Clinkz"
"[english]DOTA_Item_Clinkz_Shoulder_Pads"	"Clinkz Shoulder Pads"
"DOTA_Item_Desc_Clinkz_Shoulder_Pads"	"Ombreiras padrão do Clinkz"
"[english]DOTA_Item_Desc_Clinkz_Shoulder_Pads"	"Clinkz default Shoulder Pads"
"DOTA_Item_Clinkz_Quiver"	"Aljava do Clinkz"
"[english]DOTA_Item_Clinkz_Quiver"	"Clinkz Quiver"
"DOTA_Item_Desc_Clinkz_Quiver"	"Aljava padrão do Clinkz"
"[english]DOTA_Item_Desc_Clinkz_Quiver"	"Clinkz default Quiver"
"DOTA_Item_Clinkz_Horns"	"Chifres do Clinkz"
"[english]DOTA_Item_Clinkz_Horns"	"Clinkz Horns"
"DOTA_Item_Desc_Clinkz_Horns"	"Chifres padrão do Clinkz"
"[english]DOTA_Item_Desc_Clinkz_Horns"	"Clinkz default horns"
"DOTA_Item_Clinkz_Gloves"	"Luvas do Clinkz"
"[english]DOTA_Item_Clinkz_Gloves"	"Clinkz Gloves"
"DOTA_Item_Desc_Copy_of_Clinkz_Skull"	"Crânio padrão do Clinkz"
"[english]DOTA_Item_Desc_Copy_of_Clinkz_Skull"	"Clinkz default skull"
"DOTA_Wearable_Jugg_DefaultLegs"	"Pernas do Juggernaut"
"[english]DOTA_Wearable_Jugg_DefaultLegs"	"Juggernaut's Legs"
"DOTA_Item_Dragon_Knights_Helmet"	"Elmo do Dragon Knight"
"[english]DOTA_Item_Dragon_Knights_Helmet"	"Dragon Knight's Helmet"
"DOTA_Item_Desc_Copy_of_Juggernauts_Legs"	""
"[english]DOTA_Item_Desc_Copy_of_Juggernauts_Legs"	""
"DOTA_Item_Dragon_Knights_Shoulder_Armor"	"Ombreira do Dragon Knight"
"[english]DOTA_Item_Dragon_Knights_Shoulder_Armor"	"Dragon Knight's Shoulder Armor"
"DOTA_Item_Dragon_Knights_Bracers"	"Braçadeiras do Dragon Knight"
"[english]DOTA_Item_Dragon_Knights_Bracers"	"Dragon Knight's Bracers"
"DOTA_Item_Desc_Copy_of_Dragon_Knights_Shoulder_Armor"	""
"[english]DOTA_Item_Desc_Copy_of_Dragon_Knights_Shoulder_Armor"	""
"DOTA_Item_Dragon_Knights_Weapon"	"Arma do Dragon Knight"
"[english]DOTA_Item_Dragon_Knights_Weapon"	"Dragon Knight's Weapon"
"DOTA_Item_Dragon_Knights_Offhand"	"Mão Esquerda do Dragon Knight"
"[english]DOTA_Item_Dragon_Knights_Offhand"	"Dragon Knight's Offhand"
"DOTA_Item_Dragon_Knights_Skirt"	"Saia do Dragon Knight"
"[english]DOTA_Item_Dragon_Knights_Skirt"	"Dragon Knight's Skirt"
"DOTA_Item_Desc_Copy_of_Dragon_Knights_Offhand"	""
"[english]DOTA_Item_Desc_Copy_of_Dragon_Knights_Offhand"	""
"DOTA_Item_Blood_Seekers_Weapon"	"Arma do Bloodseeker"
"[english]DOTA_Item_Blood_Seekers_Weapon"	"Blood Seeker's Weapon"
"DOTA_Item_Desc_Copy_of_Dragon_Knights_Skirt"	""
"[english]DOTA_Item_Desc_Copy_of_Dragon_Knights_Skirt"	""
"DOTA_Item_Blood_Seekers_Headdress"	"Cocar do Bloodseeker"
"[english]DOTA_Item_Blood_Seekers_Headdress"	"Blood Seeker's Headdress"
"DOTA_Item_Blood_Seekers_Offhand_Weapon"	"Arma Secundária do Bloodseeker"
"[english]DOTA_Item_Blood_Seekers_Offhand_Weapon"	"Blood Seeker's Offhand Weapon"
"DOTA_Item_Desc_Copy_of_Blood_Seekers_Headdress"	""
